Vaala Pelso;101800;5502;2714;64.5;26.42;114;Sääasemat;1944
Vaasa Klemettilä;101485;3024;2957;63.1;21.64;7;Sääasemat;2010
Vaasa lentoasema;101462;3001;2911;63.06;21.75;6;Sääasemat;1946
Valtimo kk;101743;4701;2798;63.67;28.83;115;Sääasemat;1969
Vantaa Helsinki-Vantaan lentoasema;100968;301;2974;60.33;24.96;51;Sääasemat;1952
Varkaus Kosulanniemi;101421;2625;2850;62.32;27.91;83;Sääasemat;2007
Vesanto Sonkari;101555;3502;2710;62.92;26.42;120;Sääasemat;1908
Vieremä Kaarakkala;101726;4602;2834;63.84;27.22;206;Sääasemat;1937
Vihti Maasoja;100976;309;2758;60.42;24.4;42;Sääasemat;1939
Viitasaari Haapaniemi;101537;3401;2915;63.08;25.86;130;Sääasemat;1969
Virolahti Koivuniemi;101231;1612;2831;60.53;27.67;5;Sääasemat;1976
Virrat Äijänneva;101310;2218;2735;62.33;23.54;138;Sääasemat;1986
Ylitornio Meltosjärvi;101908;7301;2812;66.53;24.65;93;Sääasemat;1937
Ylivieska lentokenttä;101690;4315;2755;64.05;24.72;76;Sääasemat;2000
Ähtäri Myllymäki;101520;3301;2924;62.53;24.22;159;Sääasemat;1959
